route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
08251125-GT,20251014,20251014-GT-3879,KI - Kitchener GO,,0,14P,UNKI,1,2,
08251125-LW,20251014,20251014-LW-1860,LW - Union Station,,1,19A,HAUN,1,2,
08251125-ST,20251014,20251014-ST-7129,ST - Union Station,,1,60P,UNLI,1,1,
08251125-ST,20251014,20251014-ST-7418,ST - Mount Joy GO,,0,67A,UNMJ,1,1,
08251125-LW,20251014,20251014-LW-1325,LW - Oakville GO,,0,14P,UNOA,1,2,
08251125-ST,20251014,20251014-ST-7421,ST - Union Station,,1,61A,MJUN,1,1,
08251125-LWNF,20251014,20251014-LW-1977,LW - Niagara Falls GO,,0,20A,UNNI,1,2,
08251125-GT,20251014,20251014-GT-3962,KI - Union Station,,1,57A,KIUN,1,1,
08251125-LE,20251014,20251014-LE-9041,LE - Union Station,,1,23A,OSUN,1,1,
08251125-LW,20251014,20251014-LW-1308,LW - Union Station,,1,16A,OAUN,1,2,
08251125-LE,20251014,20251014-LE-9322,LE - Durham College Oshawa GO,,0,22A,UNOS,1,2,
08251125-LW,20251014,20251014-LW-1016,LW - Union Station,,1,28A,ALUN,1,1,
08251125-LE,20251014,20251014-LE-9221,LE - Union Station,,1,28A,OSUN,1,1,
08251125-GT,20251014,20251014-GT-3937,KI - Guelph Central GO,,0,57P,UNGL,1,1,
08251125-BR,20251014,20251014-BR-6331,BR - Aurora GO,,0,06P,UNAD,1,1,
08251125-LW,20251014,20251014-LW-X1987,LW - Niagara Falls GO,,0,04P,UNNI,1,1,
08251125-LW,20251014,20251014-LW-1731,LW - West Harbour GO,,0,26A,UNWR,1,1,
08251125-LE,20251014,20251014-LE-9207,LE - Union Station,,1,23A,OSUN,1,2,
08251125-GT,20251014,20251014-GT-3207,KI - Bramalea GO,,0,45A,UNBE,1,1,
08251125-MI,20251014,20251014-MI-2716,MI - Union Station,,1,34A,MLUN,1,2,
08251125-LE,20251014,20251014-LE-9035,LE - Union Station,,1,19P,OSUN,1,1,
08251125-LW,20251014,20251014-LW-1873,LW - Hamilton GO Centre,,0,11A,UNHA,1,2,
08251125-GT,20251014,20251014-GT-3516,KI - Union Station,,1,50A,MOUN,1,1,
08251125-LW,20251014,20251014-LW-1736,LW - Union Station,,1,26A,WRUN,1,1,
08251125-BR,20251014,20251014-BR-6911,BR - Allandale Waterfront GO,,0,30P,UNAD,1,1,
08251125-GT,20251014,20251014-GT-3024,KI - Union Station,,1,33P,BEUN,1,1,
08251125-ST,20251014,20251014-ST-7640,ST - Old Elm GO,,0,44P,UNLI,1,1,
08251125-LE,20251014,20251014-LE-9330,LE - Durham College Oshawa GO,,0,59P,UNOS,1,1,
08251125-GT,20251014,20251014-GT-3923,KI - Kitchener GO,,0,46P,UNKI,1,2,
08251125-ST,20251014,20251014-ST-7416,ST - Mount Joy GO,,0,61A,UNMJ,1,1,
08251125-LW,20251014,20251014-LW-1035,LW - Aldershot GO,,0,19P,UNAL,1,1,
