shape_pt_lon,shape_pt_lat,shape_id,shape_pt_sequence
-79.2645345479321,43.7322390131003,1001,0
-79.2679302357317,43.7321891083281,1001,1
-79.2688050569953,43.7320393937621,1001,2
-79.2719618955682,43.7313199268767,1001,3
-79.2761172965704,43.730355079105,1001,4
-79.2800424814506,43.729548254811,1001,5
-79.2864424896422,43.7281175705773,1001,6
-79.2964568909494,43.7259049334831,1001,7
-79.2995532977903,43.725177074469,1001,8
-79.3014065375725,43.7248484952167,1001,9
-79.3027417910801,43.724719558562,1001,10
-79.3041345986182,43.7247070808065,1001,11
-79.3049288442391,43.724752832564,1001,12
-79.3057403560692,43.7248776099067,1001,13
-79.3067187745877,43.725027342375,1001,14
-79.3119504359602,43.7258092725175,1001,15
-79.3140856904918,43.7261503239573,1001,16
-79.3154784980299,43.7262792575324,1001,17
-79.3165950462217,43.7263000532443,1001,18
-79.3174928890975,43.7262335069407,1001,19
-79.3186727467227,43.7260920958002,1001,20
-79.3194267045223,43.7259548434915,1001,21
-79.3201806623219,43.7257510440288,1001,22
-79.3240425377685,43.7247486733147,1001,23
-79.3253835466791,43.724399295348,1001,24
-79.3269893041301,43.7239584107201,1001,25
-79.3296080125179,43.7233220337902,1001,26
-79.3327389517771,43.7223944919097,1001,27
-79.340761983629,43.719915430574,1001,28
-79.3446181036725,43.7187257774703,1001,29
-79.3534353811453,43.7159304156849,1001,30
-79.3644857550014,43.7136674082499,1001,31
-79.3766411662432,43.7111547042892,1001,32
-79.389717441973,43.7085919705478,1001,33
-79.3984656546091,43.7067114533614,1001,34
-79.417757765633,43.7027338819528,1001,35
-79.435921817659,43.6988392676413,1001,36
-79.4499419794891,43.6958099482704,1001,37
-79.4623045852406,43.6930301634364,1001,38
-79.4648599841949,43.6922977435897,1001,39
-79.4748283422776,43.6902003100004,1001,40
-79.4826096472013,43.6884357455672,1001,41
-79.4867880698157,43.6875534438832,1001,42
-79.4867880698157,43.6875534438832,1000,0
-79.4826096472013,43.6884357455672,1000,1
-79.4748283422776,43.6902003100004,1000,2
-79.4648599841949,43.6922977435897,1000,3
-79.4623045852406,43.6930301634364,1000,4
-79.4499419794891,43.6958099482704,1000,5
-79.435921817659,43.6988392676413,1000,6
-79.417757765633,43.7027338819528,1000,7
-79.3984656546091,43.7067114533614,1000,8
-79.389717441973,43.7085919705478,1000,9
-79.3766411662432,43.7111547042892,1000,10
-79.3644857550014,43.7136674082499,1000,11
-79.3534353811453,43.7159304156849,1000,12
-79.3446181036725,43.7187257774703,1000,13
-79.340761983629,43.719915430574,1000,14
-79.3327389517771,43.7223944919097,1000,15
-79.3296080125179,43.7233220337902,1000,16
-79.3269893041301,43.7239584107201,1000,17
-79.3253835466791,43.724399295348,1000,18
-79.3240425377685,43.7247486733147,1000,19
-79.3201806623219,43.7257510440288,1000,20
-79.3194267045223,43.7259548434915,1000,21
-79.3186727467227,43.7260920958002,1000,22
-79.3174928890975,43.7262335069407,1000,23
-79.3165950462217,43.7263000532443,1000,24
-79.3154784980299,43.7262792575324,1000,25
-79.3140856904918,43.7261503239573,1000,26
-79.3119504359602,43.7258092725175,1000,27
-79.3067187745877,43.725027342375,1000,28
-79.3057403560692,43.7248776099067,1000,29
-79.3049288442391,43.724752832564,1000,30
-79.3041345986182,43.7247070808065,1000,31
