route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
74976,1,1,LINE 1 (YONGE-UNIVERSITY),,1,,D5C82B,000000
74750,1,10,VAN HORNE,,3,,ED1C24,FFFFFF
74751,1,100,FLEMINGDON PARK,,3,,ED1C24,FFFFFF
74752,1,101,DOWNSVIEW PARK,,3,,ED1C24,FFFFFF
74753,1,102,MARKHAM RD,,3,,ED1C24,FFFFFF
74754,1,104,FAYWOOD,,3,,ED1C24,FFFFFF
74755,1,105,DUFFERIN NORTH,,3,,ED1C24,FFFFFF
74756,1,106,SENTINEL,,3,,ED1C24,FFFFFF
74757,1,107,YORK UNIVERSITY HEIGHTS,,3,,ED1C24,FFFFFF
74758,1,108,DRIFTWOOD,,3,,ED1C24,FFFFFF
74759,1,109,RANEE,,3,,ED1C24,FFFFFF
74760,1,11,BAYVIEW,,3,,ED1C24,FFFFFF
74761,1,110,ISLINGTON SOUTH,,3,,ED1C24,FFFFFF
74762,1,111,EAST MALL,,3,,ED1C24,FFFFFF
74763,1,112,WEST MALL,,3,,ED1C24,FFFFFF
74764,1,113,DANFORTH,,3,,ED1C24,FFFFFF
74765,1,114,QUEENS QUAY EAST,,3,,ED1C24,FFFFFF
74766,1,115,SILVER HILLS,,3,,ED1C24,FFFFFF
74767,1,116,MORNINGSIDE,,3,,ED1C24,FFFFFF
74768,1,117,BIRCHMOUNT SOUTH,,3,,ED1C24,FFFFFF
74769,1,118,THISTLE DOWN,,3,,ED1C24,FFFFFF
74770,1,119,TORBARRIE,,3,,ED1C24,FFFFFF
74771,1,12,KINGSTON RD,,3,,ED1C24,FFFFFF
74772,1,120,CALVINGTON,,3,,ED1C24,FFFFFF
74773,1,121,ESPLANADE-RIVER,,3,,ED1C24,FFFFFF
74774,1,122,GRAYDON HALL,,3,,ED1C24,FFFFFF
74775,1,123,SHERWAY,,3,,ED1C24,FFFFFF
74776,1,124,SUNNYBROOK,,3,,ED1C24,FFFFFF
74777,1,125,DREWRY,,3,,ED1C24,FFFFFF
74778,1,126,CHRISTIE,,3,,ED1C24,FFFFFF
74779,1,127,DAVENPORT,,3,,ED1C24,FFFFFF
74780,1,128,STANLEY GREENE,,3,,ED1C24,FFFFFF
74781,1,129,MCCOWAN NORTH,,3,,ED1C24,FFFFFF
74782,1,13,AVENUE RD,,3,,ED1C24,FFFFFF
74783,1,130,MIDDLEFIELD,,3,,ED1C24,FFFFFF
74784,1,131,NUGGET,,3,,ED1C24,FFFFFF
74785,1,132,MILNER,,3,,ED1C24,FFFFFF
74786,1,133,NEILSON,,3,,ED1C24,FFFFFF
74787,1,134,PROGRESS,,3,,ED1C24,FFFFFF
74788,1,135,GERRARD,,3,,ED1C24,FFFFFF
74789,1,14,GLENCAIRN,,3,,ED1C24,FFFFFF
74790,1,149,ETOBICOKE-BLOOR,,3,,ED1C24,FFFFFF
74791,1,15,EVANS,,3,,ED1C24,FFFFFF
74792,1,154,CURRAN HALL,,3,,ED1C24,FFFFFF
74793,1,16,MCCOWAN,,3,,ED1C24,FFFFFF
74794,1,160,BATHURST NORTH,,3,,ED1C24,FFFFFF
74795,1,161,ROGERS RD,,3,,ED1C24,FFFFFF
74796,1,162,LAWRENCE-DONWAY,,3,,ED1C24,FFFFFF
74797,1,165,WESTON RD NORTH,,3,,ED1C24,FFFFFF
74798,1,167,PHARMACY NORTH,,3,,ED1C24,FFFFFF
74799,1,168,SYMINGTON,,3,,ED1C24,FFFFFF
74800,1,169,HUNTINGWOOD,,3,,ED1C24,FFFFFF
74801,1,17,BIRCHMOUNT,,3,,ED1C24,FFFFFF
74802,1,171,MOUNT DENNIS,,3,,ED1C24,FFFFFF
74803,1,184,ANCASTER PARK,,3,,ED1C24,FFFFFF
74804,1,185,SHEPPARD CENTRAL,,3,,ED1C24,FFFFFF
74805,1,189,STOCKYARDS,,3,,ED1C24,FFFFFF
74806,1,19,BAY,,3,,ED1C24,FFFFFF
74977,1,2,LINE 2 (BLOOR - DANFORTH),,1,,008000,FFFFFF
74807,1,20,CLIFFSIDE,,3,,ED1C24,FFFFFF
74808,1,200,TORONTO ZOO,,3,,E472AC,FFFFFF
74809,1,201,BLUFFER'S PARK,,3,,E472AC,FFFFFF
74810,1,202,CHERRY BEACH,,3,,E472AC,FFFFFF
